"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"SwitchLight: Co-Design of Physics-Driven Architecture and Pre-training Framework for Human Portrait Relighting","H. Kim; M. Jang; W. Yoon; J. Lee; D. Na; S. Woo",Beeble AI; Beeble AI; Beeble AI; Beeble AI; Beeble AI; New York University,2024 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"16 Sep 2024","2024","","","25096","25106","We introduce a co-designed approach for human portrait relighting that combines a physics-guided architecture with a pretraining framework. Drawing on the Cook-Torrance reflectance model, we have meticulously configured the architecture design to precisely simulate light-surface interactions. Furthermore, to overcome the limitation of scarce high-quality lightstage data, we have developed a self-supervised pretraining strategy. This novel combination of accurate physical modeling and expanded training dataset establishes a new benchmark in relighting realism.","2575-7075","979-8-3503-5300-6","10.1109/CVPR52733.2024.02371","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10658582","","Training;Reflectivity;Solid modeling;Three-dimensional displays;Computational modeling;Computer architecture;Switches","","","","55","IEEE","16 Sep 2024","","","IEEE","IEEE Conferences"
"Quantum Machine Learning and Optimisation in Finance: On the Road to Quantum Advantage","A. Jacquier; O. Kondratyev; A. Lipton; M. L. d. Prado",NA; NA; NA; NA,Quantum Machine Learning and Optimisation in Finance: On the Road to Quantum Advantage,"","2022","","","","","Learn the principles of quantum machine learning and how to apply them While focus is on financial use cases, all the methods and techniques are transferable to other fields Purchase of Print or Kindle includes a free eBook in PDFKey FeaturesDiscover how to solve optimisation problems on quantum computers that can provide a speedup edge over classical methodsUse methods of analogue and digital quantum computing to build powerful generative modelsCreate the latest algorithms that work on Noisy Intermediate-Scale Quantum (NISQ) computersBook DescriptionWith recent advances in quantum computing technology, we finally reached the era of Noisy Intermediate-Scale Quantum (NISQ) computing. NISQ-era quantum computers are powerful enough to test quantum computing algorithms and solve hard real-world problems faster than classical hardware. Speedup is so important in financial applications, ranging from analysing huge amounts of customer data to high frequency trading. This is where quantum computing can give you the edge. Quantum Machine Learning and Optimisation in Finance shows you how to create hybrid quantum-classical machine learning and optimisation models that can harness the power of NISQ hardware. This book will take you through the real-world productive applications of quantum computing. The book explores the main quantum computing algorithms implementable on existing NISQ devices and highlights a range of financial applications that can benefit from this new quantum computing paradigm. This book will help you be one of the first in the finance industry to use quantum machine learning models to solve classically hard real-world problems. We may have moved past the point of quantum computing supremacy, but our quest for establishing quantum computing advantage has just begun!What you will learnTrain parameterised quantum circuits as generative models that excel on NISQ hardwareSolve hard optimisation problemsApply quantum boosting to financial applicationsLearn how the variational quantum eigensolver and the quantum approximate optimisation algorithms workAnalyse the latest algorithms from quantum kernels to quantum semidefinite programmingApply quantum neural networks to credit approvalsWho this book is forThis book is for Quants and developers, data scientists, researchers, and students in quantitative finance. Although the focus is on financial use cases, all the methods and techniques are transferable to other areas.","","9781801817875","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10162584.pdf&bkn=10162583&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Data-Centric Machine Learning with Python: The ultimate guide to engineering and deploying high-quality models based on good data","J. Christensen; N. Bajaj; M. Gosada; K. D. Borne",NA; NA; NA; NA,Data-Centric Machine Learning with Python: The ultimate guide to engineering and deploying high-quality models based on good data,"","2024","","","","","Join the data-centric revolution and master the concepts, techniques, and algorithms shaping the future of AI and ML development, using PythonKey FeaturesGrasp the principles of data centricity and apply them to real-world scenariosGain experience with quality data collection, labeling, and synthetic data creation using PythonDevelop essential skills for building reliable, responsible, and ethical machine learning solutionsPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionIn the rapidly advancing data-driven world where data quality is pivotal to the success of machine learning and artificial intelligence projects, this critically timed guide provides a rare, end-to-end overview of data-centric machine learning (DCML), along with hands-on applications of technical and non-technical approaches to generating deeper and more accurate datasets. This book will help you understand what data-centric ML/AI is and how it can help you to realize the potential of ‘small data’. Delving into the building blocks of data-centric ML/AI, you’ll explore the human aspects of data labeling, tackle ambiguity in labeling, and understand the role of synthetic data. From strategies to improve data collection to techniques for refining and augmenting datasets, you’ll learn everything you need to elevate your data-centric practices. Through applied examples and insights for overcoming challenges, you’ll get a roadmap for implementing data-centric ML/AI in diverse applications in Python. By the end of this book, you’ll have developed a profound understanding of data-centric ML/AI and the proficiency to seamlessly integrate common data-centric approaches in the model development lifecycle to unlock the full potential of your machine learning projects by prioritizing data quality and reliability.What you will learnUnderstand the impact of input data quality compared to model selection and tuningRecognize the crucial role of subject-matter experts in effective model developmentImplement data cleaning, labeling, and augmentation best practicesExplore common synthetic data generation techniques and their applicationsApply synthetic data generation techniques using common Python packagesDetect and mitigate bias in a dataset using best-practice techniquesUnderstand the importance of reliability, responsibility, and ethical considerations in ML/AIWho this book is forThis book is for data science professionals and machine learning enthusiasts looking to understand the concept of data-centricity, its benefits over a model-centric approach, and the practical application of a best-practice data-centric approach in their work. This book is also for other data professionals and senior leaders who want to explore the tools and techniques to improve data quality and create opportunities for small data ML/AI in their organizations.","","9781804612415","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10460907.pdf&bkn=10460906&pdfType=book","","","","","","","","6 Mar 2024","","","Packt Publishing","Packt Publishing eBooks"
"GMCWAE: A Representation Learning Technique for Network Intrusion Detection in IoT","D. Bian; J. Liu","School of Telecommunications Engineering, Xidian University, Xi’an, China; School of Telecommunications Engineering, Xidian University, Xi’an, China",IEEE Internet of Things Journal,"","2025","PP","99","1","1","In the context of the Internet of Things (IoT), edge nodes often face constraints in computational and storage resources, making dimensionality reduction of high-dimensional raw traffic essential to alleviate the device burden. However, current Representation Learning (RL) methods struggle to extract meaningful features from such data, leading to reduced accuracy in network intrusion detection (NID). To address this challenge, we propose the Gaussian Mixture Cramer-Wold Auto-Encoder (GMCWAE), designed to learn low-dimensional representations of network traffic that are both interpretable and discriminative, thereby enhancing the detection performance of classifiers. Furthermore, we integrate the lightweight ensemble learning method Light Gradient Boosting Machine (LightGBM) for detecting intrusive traffic. A comprehensive evaluation of the multiclass classification performance was conducted using three benchmark datasets: NSL-KDD, UNSW-NB15, and CIC-IoT 2023. Compared to existing supervised dimensionality reduction methods, the low-dimensional representations learned by GMCWAE across the three datasets achieved higher accuracy and F1-scores across all classifiers used. And the proposed NID method achieved accuracies of 83.1%, 81.1%, and 97.62% across the three datasets, showing strong competitiveness compared to recent related works. The results indicate that GMCWAE is capable of providing high-quality low-dimensional representations of network traffic for resource-constrained devices, and the proposed NID model effectively safeguards against network threats in IoT environments.","2327-4662","","10.1109/JIOT.2025.3542845","National Natural Science Foundation of China(grant numbers:U24A20241); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10891521","Network intrusion detection;Internet of Things;Dimensionality reduction;Representation Learning","Feature extraction;Internet of Things;Telecommunication traffic;Representation learning;Kernel;Accuracy;Iron;Gaussian distribution;Benchmark testing;Bayes methods","","","","","IEEE","17 Feb 2025","","","IEEE","IEEE Early Access Articles"
"Let's all dance: Enhancing amateur dance motions","Q. Zhou; M. Li; Q. Zeng; A. Aristidou; X. Zhang; L. Chen; C. Tu","School of Computer Science & Technology, Shandong University, Qingdao 266000, China; School of Software, Shandong University, Jinan 250101, China; School of Computer Science & Technology, Shandong University, Qingdao 266000, China; Department of Computer Science, University of Cyprus, Nicosia 1678, Cyprus; CYENS Centre of Excellence, Nicosia 1016, Cyprus; School of Computer Science & Technology, Shandong University, Qingdao 266000, China; Qingdao Institute of Humanities and Social Sciences, Shandong University, Qingdao 266000, China; School of Computer Science & Technology, Shandong University, Qingdao 266000, China",Computational Visual Media,"20 Feb 2025","2023","9","3","531","550","Professional dance is characterized by high impulsiveness, elegance, and aesthetic beauty. In order to reach the desired professionalism, it requires years of long and exhausting practice, good physical condition, musicality, but also, a good understanding of choreography. Capturing dance motions and transferring them to digital avatars is commonly used in the film and entertainment industries. However, so far, access to high-quality dance data is very limited, mainly due to the many practical difficulties in capturing the movements of dancers, making it prohibitive for large-scale data acquisition. In this paper, we present a model that enhances the professionalism of amateur dance movements, allowing movement quality to be improved in both spatial and temporal domains. Our model consists of a dance-to-music alignment stage responsible for learning the optimal temporal alignment path between dance and music, and a dance-enhancement stage that injects features of professionalism in both spatial and temporal domains. To learn a homogeneous distribution and credible mapping between the heterogeneous professional and amateur datasets, we generate amateur data from professional dances taken from the AIST++ dataset. We demonstrate the effectiveness of our method by comparing it with two baseline motion transfer methods via thorough qualitative visual controls, quantitative metrics, and a perceptual study. We also provide temporal and spatial module analysis to examine the mechanisms and necessity of key components of our framework.","2096-0662","","10.1007/s41095-022-0292-6","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10897703","animation;music-to-motion alignment;dance motion enhancement;dance motion analysis","Humanities;Rhythm;Measurement;Correlation;Training;Synchronization;Motion measurement;Hidden Markov models;Feature extraction;Visualization","","","","","","20 Feb 2025","","","TUP","TUP Journals"
"A Brief Introduction to Machine Learning for Engineers","O. Simeone",NA,A Brief Introduction to Machine Learning for Engineers,"","2018","","","","","There is a wealth of literature and books available to engineers starting to understand what machine learning is and how it can be used in their everyday work. This presents the problem of where the engineer should start. The answer is often “for a general, but slightly outdated introduction, read this book; for a detailed survey of methods based on probabilistic models, check this reference; to learn about statistical learning, this text is useful” and so on. This monograph provides the starting point to the literature that every engineer new to machine learning needs. It offers a basic and compact reference that describes key ideas and principles in simple terms and within a unified treatment, encompassing recent developments and pointers to the literature for further study. A Brief Introduction to Machine Learning for Engineers is the entry point to machine learning for students, practitioners, and researchers with an engineering background in probability and linear algebra.","","9781680834734","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=8453246.pdf&bkn=8453245&pdfType=book","","","","","","","","3 Sep 2018","","","now","Now Foundations and Trends Books"
"Highly Robust and Diverse Coverless Image Steganography Against Passive and Active Steganalysis","B. Guo; P. Ping; F. Xu","College of Computer Science and Software Engineering, Hohai University, Nanjing, China; College of Computer Science and Software Engineering, Hohai University, Nanjing, China; College of Computer Science and Software Engineering, Hohai University, Nanjing, China",IEEE Transactions on Dependable and Secure Computing,"","2024","PP","99","1","17","To avoid the pixel modification traces left by steganography from being detected by passive steganalysis, and to prevent the hidden data from being destroyed by active steganalysis attacks, Coverless Image Steganography (CIS) that does not modify pixels has attracted widespread attention. However, most existing CIS methods are limited in their maximum capacity due to insufficient diversity in their hash sequences. In addition, these methods struggle to maintain high robustness against both geometric and non-geometric attacks simultaneously. To address these two issues, a new coverless image steganography method is proposed to enhance CIS methods' applicability, security, and robustness in highly insecure networks. During the hiding process, hash sequences are generated by a SHA-256 algorithm that integrates inter-block and inter-channel fusion, providing higher diversity than other CIS methods. Consequently, the proposed CIS method achieves higher capacity on publicly available datasets. During the extraction process, an evaluation metric that combines visual and histogram similarity is designed to improve the accuracy of inverse image retrieval. The experimental results demonstrate that the proposed CIS method achieves capacity increases of 26.73% and 38.34% over other CIS methods on the VOC and COCO datasets, respectively. Moreover, this method exhibits nearly 100% robustness against common active steganalysis.","1941-0018","","10.1109/TDSC.2024.3521424","National Natural Science Foundation of China(grant numbers:61902110); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10812863","Coverless image steganography;hash generation algorithm;inverse image retrieval;steganalysis","Steganography;Robustness;Feature extraction;Data mining;Image retrieval;Visualization;Accuracy;Software;Indexes;Histograms","","","","","IEEE","23 Dec 2024","","","IEEE","IEEE Early Access Articles"
"Document Image Understanding: Computational Image Processing in the Cultural Heritage Sector","T. Lu; A. Dooms","Vrije Universiteit Brussel, Brussel, Belgium; Vrije Universiteit Brussel, Brussel, Belgium",IEEE BITS the Information Theory Magazine,"9 Dec 2022","2022","2","1","76","89","Textual documents, such as manuscripts and historical newspapers, make up an important part of our cultural heritage. Massive digitization projects have been conducted across the globe for a better preservation of, and for providing easier access to such, often vulnerable, documents. These digital counterparts also allow to unlock the rich information contained inside and across them thanks to various types of computational models for document image understanding. In this article, we will shed a light on the document image processing pipeline, from scan to information extraction. As it turns out, human perceptual-driven algorithms are among the most powerful approaches for generic document image understanding, required to deal with a myriad of layouts. In this context, we will in particular explain Gestalt visioning and the linked concept of text homogeneity that allows for enhanced layout analysis and even damage recognition, especially relevant in a cultural heritage setting. We conclude with a recent promising development, namely joint visual and language processing, that will take document image understanding to the next level in the future.","2692-4110","","10.1109/MBITS.2022.3199678","KBR Data Science Lab project; Belgian Science Policy; Flemish Government; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9860032","","Optical character recognition;Text recognition;Layout;Image recognition;Feature extraction;Computational modeling;Visualization;History;Cultural differences;Document handling","","","","33","IEEE","17 Aug 2022","","","IEEE","IEEE Magazines"
"A survey on facial image deblurring","B. Wang; F. Xu; Q. Zheng","Institute of Software, Chinese Academy of Sciences, Beijing 100190, China; University of Chinese Academy of Sciences, Beijing 100049, China; Institute of Software, Chinese Academy of Sciences, Beijing 100190, China; Institute of Software, Chinese Academy of Sciences, Beijing 100190, China",Computational Visual Media,"20 Feb 2025","2024","10","1","3","25","When a facial image is blurred, it significantly affects high-level vision tasks such as face recognition. The purpose of facial image deblurring is to recover a clear image from a blurry input image, which can improve the recognition accuracy, etc. However, general deblurring methods do not perform well on facial images. Therefore, some face deblurring methods have been proposed to improve performance by adding semantic or structural information as specific priors according to the characteristics of the facial images. In this paper, we survey and summarize recently published methods for facial image deblurring, most of which are based on deep learning. First, we provide a brief introduction to the modeling of image blurring. Next, we summarize face deblurring methods into two categories: model-based methods and deep learning-based methods. Furthermore, we summarize the datasets, loss functions, and performance evaluation metrics commonly used in the neural network training process. We show the performance of classical methods on these datasets and metrics and provide a brief discussion on the differences between model-based and learning-based methods. Finally, we discuss the current challenges and possible future research directions.","2096-0662","","10.1007/s41095-023-0336-6","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10897671","facial image deblurring;model-based;deep learning-based;semantic or structural prior","Kernel;Face recognition;Image edge detection;Degradation;Surveys;Estimation;Deep learning;Cameras;Learning systems;Hands","","","","","","20 Feb 2025","","","TUP","TUP Journals"
"MATLAB for Machine Learning: Unlock the power of deep learning for swift and enhanced results","G. Ciaburro",NA,MATLAB for Machine Learning: Unlock the power of deep learning for swift and enhanced results,"","2024","","","","","Master MATLAB tools for creating machine learning applications through effective code writing, guided by practical examples showcasing the versatility of machine learning in real-world applicationsKey FeaturesWork with the MATLAB Machine Learning Toolbox to implement a variety of machine learning algorithmsEvaluate, deploy, and operationalize your custom models, incorporating bias detection and pipeline monitoringUncover effective approaches to deep learning for computer vision, time series analysis, and forecastingPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionDiscover why the MATLAB programming environment is highly favored by researchers and math experts for machine learning with this guide which is designed to enhance your proficiency in both machine learning and deep learning using MATLAB, paving the way for advanced applications. By navigating the versatile machine learning tools in the MATLAB environment, you’ll learn how to seamlessly interact with the workspace. You’ll then move on to data cleansing, data mining, and analyzing various types of data in machine learning, and visualize data values on a graph. As you progress, you’ll explore various classification and regression techniques, skillfully applying them with MATLAB functions. This book teaches you the essentials of neural networks, guiding you through data fitting, pattern recognition, and cluster analysis. You’ll also explore feature selection and extraction techniques for performance improvement through dimensionality reduction. Finally, you’ll leverage MATLAB tools for deep learning and managing convolutional neural networks. By the end of the book, you’ll be able to put it all together by applying major machine learning algorithms in real-world scenarios.What you will learnDiscover different ways to transform data into valuable insightsExplore the different types of regression techniquesGrasp the basics of classification through Naive Bayes and decision treesUse clustering to group data based on similarity measuresPerform data fitting, pattern recognition, and cluster analysisImplement feature selection and extraction for dimensionality reductionHarness MATLAB tools for deep learning explorationWho this book is forThis book is for ML engineers, data scientists, DL engineers, and CV/NLP engineers who want to use MATLAB for machine learning and deep learning. A fundamental understanding of programming concepts is necessary to get started.","","9781835089538","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10460867.pdf&bkn=10460766&pdfType=book","","","","","","","","6 Mar 2024","","","Packt Publishing","Packt Publishing eBooks"
"Co-ViSu: Accelerating Video Super-Resolution With Codec Information Reuse","H. Fan; Q. Sun; J. Wu; W. Lu; X. Li; G. Yan","Institute of Computing Technology, SKLP, Chinese Academy of Sciences, and University of Chinese Academy of Sciences, China; Institute of Computing Technology, SKLP, Chinese Academy of Sciences, and University of Chinese Academy of Sciences, China; Institute of Computing Technology, SKLP, Chinese Academy of Sciences, and YUSUR Technology Co., Ltd, China; Institute of Computing Technology, SKLP, Chinese Academy of Sciences, and YUSUR Technology Co., Ltd, China; Institute of Computing Technology, SKLP, Chinese Academy of Sciences, and University of Chinese Academy of Sciences, China; Institute of Computing Technology, SKLP, Chinese Academy of Sciences, and YUSUR Technology Co., Ltd, China",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,"","2025","PP","99","1","1","High-resolution (HR) videos have gained popularity with the widespread adoption of high-definition displays. Super-resolution (SR) techniques aim to recover HR frames from low-resolution (LR) frames. While deep neural network (DNN)-based SR methods have outperformed traditional techniques in quality, they face performance challenges. FPGA-based SR accelerators have been developed to optimize the performance and power efficiency. However, most of these accelerators process only uncompressed video frames and perform per-frame DNN inference, overlooking the temporal-spatial information inherent in compressed video bitstreams. We propose a novel compressed video SR workflow that includes a codec information reuse algorithm and a dedicated FPGA accelerator named Co-ViSu. Our approach leverages the observation that non-key frames can be reconstructed using codec information and HR key-frames, significantly reducing DNN computations. The Co-ViSu algorithm employs sub-pixel interpolation to enhance high-frequency details and an MV-aware method to improve SR reconstruction quality. The Co-ViSu hardware integrates decoder, SR, and encoder engines within a parallel pipeline architecture, utilizing codec information reuse to bypass non-key frame decoding, eliminate complex DNN computations, and accelerate encoding processes. Experimental results demonstrate that Co-ViSu achieves performance improvements ranging from 3.6x to 9.4x and a 4.2x gain in energy efficiency with minimal quality loss compared to traditional flow. Additionally, Co-ViSu offers a 2.1x increase in throughput compared to state-of-the-art solutions.","1937-4151","","10.1109/TCAD.2025.3543428","Youth Innovation Promotion Association of the Chinese Academy of Sciences(grant numbers:Y201923); the Strategic Priority Research Program of the Chinese Academy of Sciences(grant numbers:XDB44030100); YUSUR Technology Co., Ltd; National Natural Science Foundation of China(grant numbers:62002340,62090020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10891735","Super-resolution;Codec;Accelerator;FPGA","Binary sequences;Streaming media;Decoding;Artificial neural networks;Superresolution;Kernel;Engines;Design automation;Video codecs;Throughput","","","","","IEEE","18 Feb 2025","","","IEEE","IEEE Early Access Articles"
"Financial Modeling Using Quantum Computing: Design and manage quantum machine learning solutions for financial analysis and decision making","A. Saxena; J. Mancilla; I. Montalban; C. Pere",NA; NA; NA; NA,Financial Modeling Using Quantum Computing: Design and manage quantum machine learning solutions for financial analysis and decision making,"","2023","","","","","Achieve optimized solutions for real-world financial problems using quantum machine learning algorithmsKey FeaturesLearn to solve financial analysis problems by harnessing quantum powerUnlock the benefits of quantum machine learning and its potential to solve problemsTrain QML to solve portfolio optimization and risk analytics problemsBook DescriptionQuantum computing has the potential to revolutionize the computing paradigm. By integrating quantum algorithms with artificial intelligence and machine learning, we can harness the power of qubits to deliver comprehensive and optimized solutions for intricate financial problems. This book offers step-by-step guidance on using various quantum algorithm frameworks within a Python environment, enabling you to tackle business challenges in finance. With the use of contrasting solutions from well-known Python libraries with quantum algorithms, you’ll discover the advantages of the quantum approach. Focusing on clarity, the authors expertly present complex quantum algorithms in a straightforward, yet comprehensive way. Throughout the book, you'll become adept at working with simple programs illustrating quantum computing principles. Gradually, you'll progress to more sophisticated programs and algorithms that harness the full power of quantum computing. By the end of this book, you’ll be able to design, implement and run your own quantum computing programs to turbocharge your financial modelling.What you will learnExplore framework, model and technique deployed for Quantum ComputingUnderstand the role of QC in financial modeling and simulationsApply Qiskit and Pennylane framework for financial modelingBuild and train models using the most well-known NISQ algorithmsExplore best practices for writing QML algorithmsUse QML algorithms to understand and solve data mining problemsWho this book is forThis book is for financial practitioners, quantitative analysts, or developers; looking to bring the power of quantum computing to their organizations. This is an essential resource written for finance professionals, who want to harness the power of quantum computers for solving real-world financial problems. A basic understanding of Python, calculus, linear algebra, and quantum computing is a prerequisite.","","9781804614877","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10251374.pdf&bkn=10251373&pdfType=book","","","","","","","","14 Sep 2023","","","Packt Publishing","Packt Publishing eBooks"
"Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python","R. T. White; A. T. Ray",NA; NA,Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python,"","2021","","","","","A practical guide simplifying discrete math for curious minds and demonstrating its application in solving problems related to software development, computer algorithms, and data scienceKey FeaturesApply the math of countable objects to practical problems in computer scienceExplore modern Python libraries such as scikit-learn, NumPy, and SciPy for performing mathematicsLearn complex statistical and mathematical concepts with the help of hands-on examples and expert guidanceBook DescriptionDiscrete mathematics deals with studying countable, distinct elements, and its principles are widely used in building algorithms for computer science and data science. The knowledge of discrete math concepts will help you understand the algorithms, binary, and general mathematics that sit at the core of data-driven tasks. Practical Discrete Mathematics is a comprehensive introduction for those who are new to the mathematics of countable objects. This book will help you get up to speed with using discrete math principles to take your computer science skills to a more advanced level. As you learn the language of discrete mathematics, you’ll also cover methods crucial to studying and describing computer science and machine learning objects and algorithms. The chapters that follow will guide you through how memory and CPUs work. In addition to this, you’ll understand how to analyze data for useful patterns, before finally exploring how to apply math concepts in network routing, web searching, and data science. By the end of this book, you’ll have a deeper understanding of discrete math and its applications in computer science, and be ready to work on real-world algorithm development and machine learning.What you will learnUnderstand the terminology and methods in discrete math and their usage in algorithms and data problemsUse Boolean algebra in formal logic and elementary control structuresImplement combinatorics to measure computational complexity and manage memory allocationUse random variables, calculate descriptive statistics, and find average-case computational complexitySolve graph problems involved in routing, pathfinding, and graph searches, such as depth-first searchPerform ML tasks such as data visualization, regression, and dimensionality reductionWho this book is forThis book is for computer scientists looking to expand their knowledge of discrete math, the core topic of their field. University students looking to get hands-on with computer science, mathematics, statistics, engineering, or related disciplines will also find this book useful. Basic Python programming skills and knowledge of elementary real-number algebra are required to get started with this book.","","9781838983505","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10162690.pdf&bkn=10162689&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Understanding the Challenges of Data Management in the AI Application Development","J. Li; Y. Zhang; K. Xu; T. Wang; H. Wang","National University of Defense Technology, China; National University of Defense Technology, China; National University of Defense Technology, China; National University of Defense Technology, China; National University of Defense Technology, China",2024 IEEE International Conference on Joint Cloud Computing (JCC),"26 Sep 2024","2024","","","68","75","With the development of AI model ecology pioneered by the large language models, data plays a more important and diversified role than the traditional one. In recent years, data problems have been increasingly noticed and voiced by developers, and it is crucial to understand the existing challenges that they are facing in reality, as well as the potential features of these problems. Unfortunately, we currently have relatively little knowledge in this area. To fill this gap, we conduct an empirical study based on 2,154 posts and 785 issues by collecting model data problems from three online communities (i.e., GitHub, Stack Overflow, and Hugging Face). We present the first taxonomy of data problems around model production encountered by developers, covering 11 topics in 4 categories. Then, we analyze the popularity and the difficulty of the posts and issues in the derived topics. We distill many findings from the study and present the practical implications from the perspectives of different audiences.","","979-8-3503-8733-9","10.1109/JCC62314.2024.00018","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10685429","AI;Model Data;Empirical Study;Posts;Issues","Biological system modeling;Large language models;Taxonomy;Production;Manuals;Data models;Ecology","","","","21","IEEE","26 Sep 2024","","","IEEE","IEEE Conferences"
"Machine Learning Using TensorFlow Cookbook: Create powerful machine learning algorithms with TensorFlow","A. Audevart; K. Banachewicz; L. Massaron",NA; NA; NA,Machine Learning Using TensorFlow Cookbook: Create powerful machine learning algorithms with TensorFlow,"","2021","","","","","Comprehensive recipes to give you valuable insights on Transformers, Reinforcement Learning, and moreKey FeaturesDeep Learning solutions from Kaggle Masters and Google Developer ExpertsGet to grips with the fundamentals including variables, matrices, and data sourcesLearn advanced techniques to make your algorithms faster and more accurateBook DescriptionThe independent recipes in Machine Learning Using TensorFlow Cookbook will teach you how to perform complex data computations and gain valuable insights into your data. Dive into recipes on training models, model evaluation, sentiment analysis, regression analysis, artificial neural networks, and deep learning - each using Google’s machine learning library, TensorFlow. This cookbook covers the fundamentals of the TensorFlow library, including variables, matrices, and various data sources. You’ll discover real-world implementations of Keras and TensorFlow and learn how to use estimators to train linear models and boosted trees, both for classification and regression. Explore the practical applications of a variety of deep learning architectures, such as recurrent neural networks and Transformers, and see how they can be used to solve computer vision and natural language processing (NLP) problems. With the help of this book, you will be proficient in using TensorFlow, understand deep learning from the basics, and be able to implement machine learning algorithms in real-world scenarios.What you will learnTake TensorFlow into productionImplement and fine-tune Transformer models for various NLP tasksApply reinforcement learning algorithms using the TF-Agents frameworkUnderstand linear regression techniques and use Estimators to train linear modelsExecute neural networks and improve predictions on tabular dataMaster convolutional neural networks and recurrent neural networks through practical recipesWho this book is forIf you are a data scientist or a machine learning engineer, and you want to skip detailed theoretical explanations in favor of building production-ready machine learning models using TensorFlow, this book is for you. Basic familiarity with Python, linear algebra, statistics, and machine learning is necessary to make the most out of this book.","","9781800206885","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10162869.pdf&bkn=10162868&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Python Data Cleaning and Preparation Best Practices: A practical guide to organizing and handling data from various sources and formats using Python","M. Zervou",NA,Python Data Cleaning and Preparation Best Practices: A practical guide to organizing and handling data from various sources and formats using Python,"","2024","","","","","Take your data preparation skills to the next level by converting any type of data asset into a structured, formatted, and readily usable dataset Key FeaturesMaximize the value of your data through effective data cleaning methodsEnhance your data skills using strategies for handling structured and unstructured dataElevate the quality of your data products by testing and validating your data pipelinesPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionProfessionals face several challenges in effectively leveraging data in today's data-driven world. One of the main challenges is the low quality of data products, often caused by inaccurate, incomplete, or inconsistent data. Another significant challenge is the lack of skills among data professionals to analyze unstructured data, leading to valuable insights being missed that are difficult or impossible to obtain from structured data alone. To help you tackle these challenges, this book will take you on a journey through the upstream data pipeline, which includes the ingestion of data from various sources, the validation and profiling of data for high-quality end tables, and writing data to different sinks. You’ll focus on structured data by performing essential tasks, such as cleaning and encoding datasets and handling missing values and outliers, before learning how to manipulate unstructured data with simple techniques. You’ll also be introduced to a variety of natural language processing techniques, from tokenization to vector models, as well as techniques to structure images, videos, and audio. By the end of this book, you’ll be proficient in data cleaning and preparation techniques for both structured and unstructured data.What you will learnIngest data from different sources and write it to the required sinksProfile and validate data pipelines for better quality controlGet up to speed with grouping, merging, and joining structured dataHandle missing values and outliers in structured datasetsImplement techniques to manipulate and transform time series dataApply structure to text, image, voice, and other unstructured dataWho this book is forWhether you're a data analyst, data engineer, data scientist, or a data professional responsible for data preparation and cleaning, this book is for you. Working knowledge of Python programming is needed to get the most out of this book. ","","9781837632909","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10769405.pdf&bkn=10769404&pdfType=book","","","","","","","","27 Nov 2024","","","Packt Publishing","Packt Publishing eBooks"
