"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Basak H.; Kundu R.; Sarkar R.","Basak, Hritam (57221149969); Kundu, Rohit (57222071191); Sarkar, Ram (13607482600)","57221149969; 57222071191; 13607482600","MFSNet: A multi focus segmentation network for skin lesion segmentation","2022","Pattern Recognition","128","","108673","","","","66","10.1016/j.patcog.2022.108673","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127686767&doi=10.1016%2fj.patcog.2022.108673&partnerID=40&md5=ca4b72b4070d3426e6533f6ef4a24b95","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85127686767"
"Miao X.; Brooker R.; Monroe S.","Miao, Xin (59362289300); Brooker, Richard (58194972300); Monroe, Samantha (58044857600)","59362289300; 58194972300; 58044857600","Where Generative AI Fits Within and in Addition to Existing AI K12 Education Interactions: Industry and Research Perspectives","2024","Machine Learning in Educational Sciences: Approaches, Applications and Advances","","","","359","384","25","3","10.1007/978-981-99-9379-6_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193573376&doi=10.1007%2f978-981-99-9379-6_17&partnerID=40&md5=71f365bc9aaa5d52988dfadf30abed1c","Book chapter","Final","","Scopus","2-s2.0-85193573376"
"Qin D.; Amariucai G.T.; Qiao D.; Guan Y.; Fu S.","Qin, Dong (57218709369); Amariucai, George T. (24314652700); Qiao, Daji (14055000700); Guan, Yong (35248121200); Fu, Shen (57211109941)","57218709369; 24314652700; 14055000700; 35248121200; 57211109941","A comprehensive and reliable feature attribution method: Double-sided remove and reconstruct (DoRaR)","2024","Neural Networks","173","","106166","","","","1","10.1016/j.neunet.2024.106166","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185405209&doi=10.1016%2fj.neunet.2024.106166&partnerID=40&md5=e5d9f6083f889a42e4975d398e701525","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85185405209"
"Guo Q.; Qi H.; Sun J.; Juefei-Xu F.; Ma L.; Lin D.; Feng W.; Wang S.","Guo, Qing (57191163500); Qi, Hua (57211029245); Sun, Jingyang (57221147987); Juefei-Xu, Felix (54911989900); Ma, Lei (55479591700); Lin, Di (56421056100); Feng, Wei (56471162500); Wang, Song (57191715308)","57191163500; 57211029245; 57221147987; 54911989900; 55479591700; 56421056100; 56471162500; 57191715308","EfficientDeRain+: Learning Uncertainty-Aware Filtering via RainMix Augmentation for High-Efficiency Deraining","2024","International Journal of Computer Vision","","","","","","","0","10.1007/s11263-024-02281-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208117581&doi=10.1007%2fs11263-024-02281-7&partnerID=40&md5=73d3d5b8e86a12e303c3cb2026478e80","Article","Article in press","","Scopus","2-s2.0-85208117581"
"Mei K.; Patel V.M.","Mei, Kangfu (57204393471); Patel, Vishal M. (56660008900)","57204393471; 56660008900","LTT-GAN: Looking Through Turbulence by Inverting GANs","2023","IEEE Journal on Selected Topics in Signal Processing","17","3","","587","598","11","15","10.1109/JSTSP.2023.3238552","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147316812&doi=10.1109%2fJSTSP.2023.3238552&partnerID=40&md5=0a98831bee7a4579d58f18666e14c631","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85147316812"
"Yang F.; Zhang J.; Zhang Q.","Yang, Fei (57201912129); Zhang, Jialu (57220012285); Zhang, Qian (57221143411)","57201912129; 57220012285; 57221143411","Multi-scale capsule generative adversarial network for snow removal","2021","IET Computer Vision","15","7","","474","486","12","4","10.1049/cvi2.12038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141802481&doi=10.1049%2fcvi2.12038&partnerID=40&md5=2ff6297386d90970d7f85658efe09698","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85141802481"
"Wilson M.R.; Beachy S.H.; Schumm S.N.","Wilson, M. Roy (55547134856); Beachy, Sarah H. (57194078001); Schumm, Samantha N. (57216161842)","55547134856; 57194078001; 57216161842","Rethinking race and ethnicity in biomedical research","2025","Rethinking Race and Ethnicity in Biomedical Research","","","","1","271","270","5","10.17226/27913","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217614135&doi=10.17226%2f27913&partnerID=40&md5=658574fe16f34bffb4e0faf5b1207068","Book","Final","","Scopus","2-s2.0-85217614135"
"Kumar R.; Ong E.T.; Anggoro S.; Toh T.L.; Fukui M.","Kumar, Rajendra (57225853677); Ong, Eng Tek (33867769300); Anggoro, Subuh (57193871661); Toh, Tin Lam (16403102700); Fukui, Masanori (57191502979)","57225853677; 33867769300; 57193871661; 16403102700; 57191502979","Transdisciplinary teaching and technological integration for improved learning: Case studies and practical approaches","2024","Transdisciplinary Teaching and Technological Integration for Improved Learning: Case Studies and Practical Approaches","","","","1","414","413","0","10.4018/979-8-3693-8217-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204337137&doi=10.4018%2f979-8-3693-8217-2&partnerID=40&md5=a785fb3d9f290545c47036203ad27cf8","Book","Final","","Scopus","2-s2.0-85204337137"
"Wang C.; Zhu H.; Fan W.; Wu X.-M.; Chen J.","Wang, Cong (57209930195); Zhu, Honghe (57216566219); Fan, Wanshu (57206253891); Wu, Xiao-Ming (55715036100); Chen, Junyang (57209837328)","57209930195; 57216566219; 57206253891; 55715036100; 57209837328","Single image rain removal using recurrent scale-guide networks","2022","Neurocomputing","467","","","242","255","13","19","10.1016/j.neucom.2021.10.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117112579&doi=10.1016%2fj.neucom.2021.10.029&partnerID=40&md5=e06b37809023d9eb5cfa77c6f2c7ea2f","Article","Final","","Scopus","2-s2.0-85117112579"
"Adrian-Alin B.; Remus B.","Adrian-Alin, Barglazan (59305833200); Remus, Brad (59364732800)","59305833200; 59364732800","Wavelet Based Inpainting Detection","2024","Advances in Artificial Intelligence and Machine Learning","4","3","","2783","2809","26","0","10.54364/AAIML.2024.43162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206490574&doi=10.54364%2fAAIML.2024.43162&partnerID=40&md5=39ae4e75366eabc12beb9170f18b3465","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85206490574"
"Ramanathan V.; Han W.; Bassiouny D.; Rakovitch E.; Martel A.L.","Ramanathan, Vishwesh (58189724800); Han, Wenchao (57485226300); Bassiouny, Dina (57191963331); Rakovitch, Eileen (6602686754); Martel, Anne L. (57204567828)","58189724800; 57485226300; 57191963331; 6602686754; 57204567828","Ink Removal in Whole Slide Images using Hallucinated Data","2023","Progress in Biomedical Optics and Imaging - Proceedings of SPIE","12471","","124710Y","","","","0","10.1117/12.2653281","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160536193&doi=10.1117%2f12.2653281&partnerID=40&md5=fa7baf85803b116f56852c5e4a8dc06d","Conference paper","Final","","Scopus","2-s2.0-85160536193"
"Cai L.; Fu Y.; Huo W.; Xiang Y.; Zhu T.; Zhang Y.; Zeng H.; Zeng D.","Cai, Lei (57195983143); Fu, Yuli (8503971400); Huo, Wanliang (57226130613); Xiang, Youjun (14625770500); Zhu, Tao (57207880969); Zhang, Ying (59647744200); Zeng, Huanqiang (24340094500); Zeng, Delu (15057229900)","57195983143; 8503971400; 57226130613; 14625770500; 57207880969; 59647744200; 24340094500; 15057229900","Multiscale Attentive Image De-Raining Networks via Neural Architecture Search","2023","IEEE Transactions on Circuits and Systems for Video Technology","33","2","","618","633","15","23","10.1109/TCSVT.2022.3207516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139389991&doi=10.1109%2fTCSVT.2022.3207516&partnerID=40&md5=4b8ebd1e70a2cbb71fe53a6074c70690","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85139389991"
"Simmons B.A.; Hulvey R.A.","Simmons, Beth A. (7102183312); Hulvey, Rachel A. (58802841500)","7102183312; 58802841500","CYBERBORDERS: EXERCISING STATE SOVEREIGNTY ONLINE","2023","Temple Law Review","95","4","","617","640","23","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181833012&partnerID=40&md5=eec819af57e4a2e455817eccf36cea47","Article","Final","","Scopus","2-s2.0-85181833012"
"Mengara O.; Avila A.; Falk T.H.","Mengara, Orson (58819637800); Avila, Anderson (56414301600); Falk, Tiago H. (7004897891)","58819637800; 56414301600; 7004897891","Backdoor Attacks to Deep Neural Networks: A Survey of the Literature, Challenges, and Future Research Directions","2024","IEEE Access","12","","","29004","29023","19","5","10.1109/ACCESS.2024.3355816","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182917500&doi=10.1109%2fACCESS.2024.3355816&partnerID=40&md5=ec465e672556109395d3f147932705a1","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85182917500"
"Lima A.A.; Mridha M.F.; Das S.C.; Kabir M.M.; Islam M.R.; Watanobe Y.","Lima, Aklima Akter (57240773800); Mridha, M. Firoz (36761314400); Das, Sujoy Chandra (57240880200); Kabir, Muhammad Mohsin (57220863661); Islam, Md. Rashedul (56420500200); Watanobe, Yutaka (8714192600)","57240773800; 36761314400; 57240880200; 57220863661; 56420500200; 8714192600","A Comprehensive Survey on the Detection, Classification, and Challenges of Neurological Disorders","2022","Biology","11","3","469","","","","53","10.3390/biology11030469","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127603830&doi=10.3390%2fbiology11030469&partnerID=40&md5=5eb0fb2668afbf2da68cc9e9cd9c4900","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85127603830"
"Frosio G.F.","Frosio, Giancarlo F. (57193028874)","57193028874","Why keep a dog and bark yourself? From intermediary liability to responsibility","2018","International Journal of Law and Information Technology","26","1","","1","33","32","30","10.1093/ijlit/eax021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041050850&doi=10.1093%2fijlit%2feax021&partnerID=40&md5=638949652bfce29d3866c48b52fa5a41","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85041050850"
"Su Z.; Zhang Y.; Shi J.; Zhang X.-P.","Su, Zhipeng (57222380164); Zhang, Yixiong (36700858900); Shi, Jianghong (7404494682); Zhang, Xiao-Ping (35214025100)","57222380164; 36700858900; 7404494682; 35214025100","Recurrent Network Knowledge Distillation for Image Rain Removal","2022","IEEE Transactions on Cognitive and Developmental Systems","14","4","","1642","1653","11","4","10.1109/TCDS.2021.3131045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120575631&doi=10.1109%2fTCDS.2021.3131045&partnerID=40&md5=60d8e3a0a85da2f09ae4b397224fd739","Article","Final","","Scopus","2-s2.0-85120575631"
"Uddin Z., Sr.","Uddin, Zia (57221097939)","57221097939","Applied Machine Learning for Assisted Living","2022","Applied Machine Learning for Assisted Living","","","","1","131","130","5","10.1007/978-3-031-11534-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166112050&doi=10.1007%2f978-3-031-11534-9&partnerID=40&md5=f275dc47e67cfb76605aa422957f8bdc","Book","Final","","Scopus","2-s2.0-85166112050"
"Kalantari S.; Nazemi E.; Masoumi B.","Kalantari, Somayeh (56568500200); Nazemi, Eslam (56945673800); Masoumi, Behrooz (35812479400)","56568500200; 56945673800; 35812479400","Emergence phenomena in self-organizing systems: a systematic literature review of concepts, researches, and future prospects","2020","Journal of Organizational Computing and Electronic Commerce","30","3","","224","265","41","25","10.1080/10919392.2020.1748977","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085495954&doi=10.1080%2f10919392.2020.1748977&partnerID=40&md5=3655624c246f96a604952384c57adb5f","Article","Final","","Scopus","2-s2.0-85085495954"
"Bibiano A.C.; Uchôa A.; Assunção W.K.G.; Tenório D.; Colanzi T.E.; Vergilio S.R.; Garcia A.","Bibiano, Ana Carla (57202890121); Uchôa, Anderson (57201011963); Assunção, Wesley K.G. (37361009900); Tenório, Daniel (57194164196); Colanzi, Thelma E. (35145339600); Vergilio, Silvia Regina (6506290092); Garcia, Alessandro (7404608626)","57202890121; 57201011963; 37361009900; 57194164196; 35145339600; 6506290092; 7404608626","Composite refactoring: Representations, characteristics and effects on software projects","2023","Information and Software Technology","156","","107134","","","","4","10.1016/j.infsof.2022.107134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145966825&doi=10.1016%2fj.infsof.2022.107134&partnerID=40&md5=581350936b5b9365cc7476ca1738340b","Article","Final","","Scopus","2-s2.0-85145966825"
"Kim B.N.; Dolz J.; Jodoin P.-M.; Desrosiers C.","Kim, Bach Ngoc (57219693389); Dolz, Jose (56578010400); Jodoin, Pierre-Marc (6507483969); Desrosiers, Christian (23088056900)","57219693389; 56578010400; 6507483969; 23088056900","Privacy-Net: An Adversarial Approach for Identity-Obfuscated Segmentation of Medical Images","2021","IEEE Transactions on Medical Imaging","40","7","9376890","1737","1749","12","23","10.1109/TMI.2021.3065727","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102694607&doi=10.1109%2fTMI.2021.3065727&partnerID=40&md5=1c8b6ea535bb917063c52853f68698d7","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85102694607"
"Liu R.; Lin Y.; Teoh X.; Liu G.; Huang Z.; Dong J.S.","Liu, Ruofan (57251078400); Lin, Yun (56683209800); Teoh, Xiwen (59343542100); Liu, Gongshen (56136751400); Huang, Zhiyong (9269381800); Dong, Jin Song (55666373900)","57251078400; 56683209800; 59343542100; 56136751400; 9269381800; 55666373900","Less Defined Knowledge and More True Alarms: Reference-based Phishing Detection without a Pre-defined Reference List","2024","Proceedings of the 33rd USENIX Security Symposium","","","","523","540","17","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205018960&partnerID=40&md5=c0440e0b7e1e86e344e14c0cf49e1215","Conference paper","Final","","Scopus","2-s2.0-85205018960"
"Bhat P.; Behal S.; Dutta K.","Bhat, Parnika (57207301890); Behal, Sunny (54419434600); Dutta, Kamlesh (36871512100)","57207301890; 54419434600; 36871512100","A system call-based android malware detection approach with homogeneous & heterogeneous ensemble machine learning","2023","Computers and Security","130","","103277","","","","51","10.1016/j.cose.2023.103277","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158002130&doi=10.1016%2fj.cose.2023.103277&partnerID=40&md5=06aad5a9375d00537c1910acc159d756","Article","Final","","Scopus","2-s2.0-85158002130"
